diff,winrate
-0.12064499999999995,0.371
-0.23352499999999998,0.13
0.13255999999999996,0.68
0.14454999999999996,0.727
-0.07819999999999994,0.287
0.16482500000000005,0.689
0.02473499999999995,0.743
0.13199,0.742
-0.053755,0.397
0.049595,0.475
-0.22116499999999994,0.194
0.14464500000000008,0.592
0.06497000000000003,0.46
0.038935,0.674
0.13477999999999996,0.675
-0.029335,0.346
-0.22411500000000006,0.372
0.014054999999999984,0.476
-0.13447500000000007,0.242
-0.03170499999999998,0.404
-0.24192500000000006,0.328
0.06856499999999999,0.629
0.13625000000000004,0.579
0.13415000000000005,0.767
-0.24669499999999994,0.353
0.15581500000000004,0.667
0.27586999999999995,0.627
-0.13708499999999996,0.335
0.14354000000000006,0.653
0.17413000000000006,0.731
-0.251735,0.307
0.029930000000000012,0.496
0.24634499999999998,0.671
0.234215,0.705
-0.08118500000000006,0.313
0.21117499999999995,0.631
0.316345,0.874
-0.036229999999999984,0.408
-0.20115500000000003,0.457
-0.24419000000000002,0.121
-0.26417499999999994,0.345
-0.21376499999999998,0.307
0.09145500000000001,0.559
0.23595999999999995,0.627
-0.04446,0.261
0.17205000000000004,0.693
-0.33801,0.143
-0.176995,0.336
0.10050999999999999,0.783
-0.10213,0.43
0.29881499999999994,0.846
-0.009924999999999962,0.426
-0.01854,0.575
0.04142499999999999,0.643
-0.09523500000000001,0.364
-0.06606999999999996,0.364
-0.049339999999999995,0.377
-0.06241000000000002,0.545
-0.025235000000000007,0.438
0.019774999999999987,0.614
-0.26471,0.17
0.409625,0.821
0.15970499999999999,0.569
0.09957499999999997,0.767
-0.02108500000000002,0.56
-0.04303000000000001,0.496
-0.05947000000000002,0.411
0.07268000000000008,0.739
-0.17658000000000001,0.36
-0.06440999999999997,0.275
0.08865999999999996,0.644
0.392595,0.874
-0.23023499999999997,0.364
0.04226000000000002,0.553
0.07837,0.674
0.029494999999999993,0.581
-0.22013,0.365
-0.009924999999999962,0.423
0.22896499999999997,0.71
0.003589999999999982,0.565
0.06671499999999997,0.616
0.15304500000000004,0.595
-0.03349000000000002,0.449
0.15163,0.642
-0.135245,0.354
-0.19982,0.346
-0.155325,0.307
0.11435499999999998,0.694
0.29667499999999997,0.693
-0.10259000000000001,0.269
-0.09044000000000002,0.275
0.07040500000000005,0.645
-0.18529500000000004,0.351
0.20456000000000002,0.638
-0.10011999999999999,0.161
-0.21040999999999999,0.17
-0.18498000000000003,0.387
-0.0041300000000000225,0.408
0.010749999999999982,0.519
-0.20188999999999996,0.319
-0.30691999999999997,0.145
-0.05031000000000008,0.443
0.12356000000000006,0.615
0.03540500000000002,0.681
-0.18536000000000002,0.402
0.010220000000000007,0.422
0.061805,0.625
0.08660499999999993,0.56
-0.09454499999999999,0.366
-0.11149500000000001,0.368
0.05428999999999995,0.594
0.04560500000000001,0.736
0.02142000000000005,0.468
-0.23492999999999997,0.29
0.107765,0.627
-0.14559000000000005,0.434
0.03440500000000002,0.614
-0.006140000000000034,0.551
0.17658000000000001,0.649
-0.03185499999999997,0.462
-0.22906500000000007,0.34
-0.12025000000000002,0.438
0.047819999999999974,0.617
-0.004569999999999963,0.585
0.092175,0.665
0.07819999999999994,0.726
0.06586000000000003,0.634
-0.07420999999999994,0.475
0.029179999999999984,0.42
0.21605500000000005,0.64
0.02723500000000001,0.527
0.037820000000000076,0.48
0.03900999999999999,0.652
-0.06971500000000003,0.55
0.08479000000000003,0.642
0.1612,0.643
-0.24438,0.308
0.14726500000000003,0.648
-0.24788999999999994,0.337
-0.399515,0.118
-0.07902500000000001,0.272
0.14211000000000001,0.523
0.01115499999999997,0.595
0.12098500000000001,0.693
-0.06937500000000002,0.432
0.16222000000000003,0.621
0.03621000000000002,0.582
0.052145,0.737
0.20019499999999996,0.699
0.10379499999999997,0.748
0.05841000000000002,0.657
0.14502500000000002,0.626
0.09051500000000001,0.718
0.003544999999999965,0.686
-0.17373500000000003,0.361
0.216065,0.664
-0.019464999999999955,0.526
-0.10148000000000001,0.346
0.215435,0.635
-0.25011,0.328
0.28033,0.869
-0.15662999999999994,0.247
0.13622,0.65
-0.06952499999999995,0.374
0.07070000000000004,0.655
